"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1986,"Texas",16682000,1125897,341747,665029,119121
1987,"Texas",16789000,1190558,355597,711594,123367
1988,"Texas",16780000,1235870,361972,739642,134256
1989,"Texas",16991000,1234977,342346,741660,150971
1990,"Texas",16986510,1200151,314512,731224,154415
1991,"Texas",17349000,1210784,312693,734261,163830
1992,"Texas",17656000,1103779,268928,689780,145071
1993,"Texas",18031000,1023612,233913,664862,124837
1994,"Texas",18378000,949387,214687,623947,110753
1995,"Texas",18724000,940033,202642,632468,104923
1996,"Texas",19128000,968732,204390,659414,104928
1997,"Texas",19439000,948231,201059,645451,101721
1998,"Texas",19760000,898496,194883,606967,96646
1999,"Texas",20044141,896261,190362,613862,92037
2000,"Texas",20851820,919658,188975,637522,93161
2001,"Texas",21370983,976654,204362,669625,102667
2002,"Texas",21736925,1004274,212602,688992,102680
2003,"Texas",22103374,1016735,219877,698644,98214
2004,"Texas",22471549,1010702,220118,696507,94077
2005,"Texas",22928508,990293,219828,677042,93423
2006,"Texas",23507783,959846,215710,648711,95425
2007,"Texas",23904380,985421,228320,663101,94000
2008,"Texas",24326974,969865,230046,654435,85384
2009,"Texas",24782302,995082,240058,678455,76569
2010,"Texas",25253466,951246,228597,654626,68023
2011,"Texas",25631778,892810,215755,613131,63924
2012,"Texas",26059203,876059,204810,606253,64996
1960,"Utah",890627,22150,3655,17081,1414
1961,"Utah",916000,18759,3558,13575,1626
1962,"Utah",967000,22005,4170,15804,2031
1963,"Utah",983000,22919,4916,16177,1826
1964,"Utah",992000,24149,5233,16906,2010
1965,"Utah",990000,27959,6008,19887,2064
1966,"Utah",1008000,32421,6952,22806,2663
1967,"Utah",1024000,32029,7020,22702,2307
1968,"Utah",1034000,35836,7665,25532,2639
1969,"Utah",1045000,40632,8867,28654,3111
1970,"Utah",1059273,43048,9692,30006,3350
1971,"Utah",1099000,47610,10053,33949,3608
1972,"Utah",1126000,45301,10283,31891,3127
1973,"Utah",1157000,46727,11446,31796,3485
1974,"Utah",1173000,55549,13289,38391,3869
1975,"Utah",1206000,58863,14325,40673,3865
1976,"Utah",1228000,58418,13973,40548,3897
1977,"Utah",1268000,57195,14856,38098,4241
1978,"Utah",1307000,61522,15516,41642,4364
1979,"Utah",1367000,70918,16115,50216,4587
1980,"Utah",1458729,81357,19283,57354,4720
1981,"Utah",1516000,82643,19326,58855,4462
1982,"Utah",1554000,78451,17202,57341,3908
1983,"Utah",1619000,78715,16446,58453,3816
1984,"Utah",1652000,74703,14176,56782,3745
1985,"Utah",1645000,83072,15511,63668,3893
1986,"Utah",1665000,86774,15233,67825,3716
1987,"Utah",1680000,90532,15975,71038,3519
1988,"Utah",1691000,90223,14898,71677,3648
1989,"Utah",1707000,92577,15311,73210,4056
1990,"Utah",1722850,92620,15172,73352,4096
1991,"Utah",1770000,94178,14872,75041,4265
1992,"Utah",1813000,97322,16045,76964,4313
1993,"Utah",1860000,91816,14708,72603,4505
1994,"Utah",1908000,95332,15089,74554,5689
1995,"Utah",1951000,112417,15623,89202,7592
1996,"Utah",2000000,113079,16965,87542,8572
1997,"Utah",2059000,116569,18335,89090,9144
1998,"Utah",2100000,109025,17070,84255,7700
1999,"Utah",2129836,100130,14592,78156,7382
2000,"Utah",2233169,94247,14348,73438,6461
2001,"Utah",2278712,90993,13804,70676,6513
2002,"Utah",2318789,97641,15124,74795,7722
2003,"Utah",2352119,100084,16961,75321,7802
2004,"Utah",2420708,97762,15225,74889,7648
2005,"Utah",2490334,95546,14971,72082,8493
2006,"Utah",2550063,89572,14721,66480,8371
2007,"Utah",2645330,93082,15594,68573,8915
2008,"Utah",2736424,92373,14766,70299,7308
2009,"Utah",2784572,91751,15258,69556,6937
2010,"Utah",2775479,88316,15095,67242,5979
2011,"Utah",2814347,84084,13170,64727,6187
2012,"Utah",2855287,85424,12943,66482,5999
1960,"Vermont",389881,3181,944,1898,339
1961,"Vermont",395000,3147,1324,1489,334
1962,"Vermont",390000,3944,1461,2133,350
1963,"Vermont",390000,4242,1614,2167,461
1964,"Vermont",409000,3438,1064,1968,406
1965,"Vermont",397000,3803,1286,2128,389
1966,"Vermont",405000,4444,1733,2238,473
1967,"Vermont",417000,5009,2156,2332,521
1968,"Vermont",422000,4960,2093,2505,362
1969,"Vermont",439000,6664,2632,3536,496
1970,"Vermont",444732,8108,3249,4308,551
1971,"Vermont",458000,9195,3325,5233,637
1972,"Vermont",462000,9740,3411,5802,527
1973,"Vermont",464000,11264,3719,6913,632
1974,"Vermont",470000,13158,4791,7551,816
1975,"Vermont",471000,15948,5181,9948,819
1976,"Vermont",476000,14632,4868,8821,943
1977,"Vermont",483000,18424,6512,10631,1281
1978,"Vermont",487000,17728,6142,10543,1043
1979,"Vermont",493000,25217,7779,15776,1662
1980,"Vermont",511299,24592,7806,15278,1508
1981,"Vermont",515000,25404,8033,15860,1511
1982,"Vermont",516000,23555,6080,16160,1315
1983,"Vermont",525000,21001,5724,14296,981
1984,"Vermont",530000,20261,5387,14054,820
1985,"Vermont",535000,20011,5210,13924,877
1986,"Vermont",541000,20708,5135,14593,980
1987,"Vermont",548000,22658,6085,15485,1088
1988,"Vermont",556000,22786,6098,15591,1097
1989,"Vermont",567000,22429,5835,15466,1128
1990,"Vermont",562758,23713,6119,16424,1170
1991,"Vermont",567000,21764,5784,15161,819
1992,"Vermont",570000,18813,4706,13507,600
1993,"Vermont",576000,22223,5036,16423,764
1994,"Vermont",580000,18290,4274,13154,862
1995,"Vermont",585000,19395,4451,14150,794
1996,"Vermont",589000,16973,3964,12124,885
1997,"Vermont",589000,15953,3611,11542,800
1998,"Vermont",591000,17924,3966,13084,874
1999,"Vermont",593740,16059,3537,11610,912
2000,"Vermont",608827,17494,3501,13184,809
2001,"Vermont",612978,16334,3150,12426,758
2002,"Vermont",616408,14942,3489,10684,769
2003,"Vermont",619343,13803,3017,10132,654
2004,"Vermont",621233,14559,3435,10537,587
2005,"Vermont",622387,14749,3185,10894,670
2006,"Vermont",623908,14920,3443,10857,620
2007,"Vermont",621254,14702,3200,10853,649
2008,"Vermont",621270,15903,3515,11802,586
2009,"Vermont",621760,15010,3471,11090,449
2010,"Vermont",625909,14160,3348,10373,439
2011,"Vermont",626592,15086,3838,10720,528
2012,"Vermont",626011,15016,3965,10616,435
1960,"Virginia",3966949,58282,15594,37660,5028
1961,"Virginia",4059000,64296,17201,41626,5469
1962,"Virginia",4177000,65949,18034,42551,5364
1963,"Virginia",4331000,72678,19536,47339,5803
1964,"Virginia",4378000,85191,23553,54711,6927
1965,"Virginia",4457000,87876,24454,55751,7671
1966,"Virginia",4507000,94556,27968,57336,9252
1967,"Virginia",4536000,108456,32709,64808,10939
1968,"Virginia",4597000,119920,36153,71708,12059
1969,"Virginia",4669000,128014,35496,78912,13606
1970,"Virginia",4648494,156346,42514,99239,14593
1971,"Virginia",4714000,155902,43376,97888,14638
1972,"Virginia",4764000,144845,42729,88711,13405
1973,"Virginia",4811000,155150,45106,96428,13616
1974,"Virginia",4908000,188030,55997,118251,13782
1975,"Virginia",4967000,206904,57901,135634,13369
1976,"Virginia",5032000,196016,51279,133360,11377
1977,"Virginia",5135000,191743,50640,129464,11639
1978,"Virginia",5148000,194934,51006,132140,11788
1979,"Virginia",5197000,211014,56265,141923,12826
1980,"Virginia",5323412,229587,64020,153437,12130
1981,"Virginia",5426000,235984,63350,161678,10956
1982,"Virginia",5491000,216713,53457,153148,10108
1983,"Virginia",5550000,203632,51055,142714,9863
1984,"Virginia",5636000,196581,47436,138808,10337
1985,"Virginia",5706000,198821,44797,142800,11224
1986,"Virginia",5787000,205658,47021,145935,12702
1987,"Virginia",5904000,216354,47642,153690,15022
1988,"Virginia",5996000,232496,49069,165343,18084
1989,"Virginia",6098000,237757,46156,172645,18956
1990,"Virginia",6187358,253063,45236,187564,20263
1991,"Virginia",6286000,266160,49224,195652,21284
1992,"Virginia",6377000,250211,45217,185506,19488
1993,"Virginia",6491000,242975,43338,181104,18533
1994,"Virginia",6552000,241763,41855,181619,18289
1995,"Virginia",6618000,240084,39388,181333,19363
1996,"Virginia",6675000,242100,39255,184237,18608
1997,"Virginia",6734000,237773,38475,180406,18892
1998,"Virginia",6791000,226461,38094,170012,18355
1999,"Virginia",6872912,210260,32411,159896,17953
2000,"Virginia",7078515,194405,30434,146158,17813
2001,"Virginia",7196750,207506,31604,157060,18842
2002,"Virginia",7287829,207783,31757,157548,18478
2003,"Virginia",7365284,200449,29105,153367,17977
2004,"Virginia",7481332,200368,28759,154154,17455
2005,"Virginia",7564327,200404,29829,154584,15991
2006,"Virginia",7642884,190257,32166,143292,14799
2007,"Virginia",7712091,191763,32028,145634,14101
2008,"Virginia",7769089,196726,32188,151191,13347
2009,"Virginia",7882590,194020,31956,150374,11690
2010,"Virginia",8023953,187403,30804,145990,10609
2011,"Virginia",8104384,182902,30656,142476,9770
2012,"Virginia",8185867,176985,29511,138398,9076
1960,"Washington",2853214,62072,13908,43657,4507
1961,"Washington",2902000,63065,13694,44450,4921
1962,"Washington",3006000,68238,14695,48212,5331
1963,"Washington",3050000,71051,16134,49490,5427
1964,"Washington",2984000,78676,17914,55011,5751
1965,"Washington",2990000,78286,18271,54290,5725
1966,"Washington",2980000,88684,19958,61563,7163
1967,"Washington",3087000,110599,25859,76049,8691
1968,"Washington",3276000,122922,33399,79790,9733
1969,"Washington",3402000,149468,44106,92411,12951
1970,"Washington",3409169,158858,49244,97279,12335
1971,"Washington",3449000,160359,48038,100447,11874
1972,"Washington",3443000,153305,47563,94336,11406
1973,"Washington",3429000,165225,52819,99522,12884
1974,"Washington",3476000,196839,61611,121132,14096
1975,"Washington",3544000,203783,61065,129060,13658
1976,"Washington",3612000,195244,59324,123324,12596
1977,"Washington",3658000,195807,58732,123894,13181
1978,"Washington",3774000,215506,66672,133931,14903
1979,"Washington",3926000,239285,70024,152204,17057
1980,"Washington",4113331,265338,76598,172468,16272
1981,"Washington",4212000,265135,79696,171994,13445
1982,"Washington",4245000,249429,71322,166188,11919
1983,"Washington",4300000,245357,70526,163953,10878
1984,"Washington",4349000,247687,74021,162905,10761
1985,"Washington",4409000,269099,79859,176501,12739
1986,"Washington",4463000,287535,83078,190420,14037
1987,"Washington",4538000,298491,86428,194131,17932
1988,"Washington",4619000,307008,85711,201301,19996
1989,"Washington",4761000,291472,73563,196122,21787
1990,"Washington",4866692,278440,61460,195221,21759
1991,"Washington",5018000,290115,61996,205814,22305
1992,"Washington",5136000,289581,57612,207755,24214
1993,"Washington",5255000,285753,56083,205701,23969
1994,"Washington",5343000,294734,55793,212198,26743
1995,"Washington",5431000,314213,59265,224861,30087
1996,"Washington",5533000,303111,58512,215706,28893
1997,"Washington",5610000,307742,62064,213823,31855
1998,"Washington",5689000,309419,60446,213773,35200
1999,"Washington",5756361,280793,54652,192334,33807
2000,"Washington",5894121,279144,53476,190650,35018
2001,"Washington",5993390,287234,53024,195133,39077
2002,"Washington",6067060,288967,54948,193526,40493
2003,"Washington",6131298,291542,58271,192653,40618
2004,"Washington",6207046,300837,60632,196972,43233
2005,"Washington",6291899,307661,60343,198031,49287
2006,"Washington",6395798,288456,58843,183179,46434
2007,"Washington",6468424,261776,52874,170782,38120
2008,"Washington",6549224,249283,53136,167013,29134
2009,"Washington",6664195,245215,53047,168421,23747
2010,"Washington",6742950,249426,55192,168490,25744
2011,"Washington",6823267,244209,56561,162828,24820
2012,"Washington",6897012,252333,60725,165206,26402
1960,"West Virginia",1860421,12208,4358,6558,1292
1961,"West Virginia",1850000,11085,4396,5426,1263
1962,"West Virginia",1773000,12097,3837,6996,1264
1963,"West Virginia",1778000,12503,4023,7164,1316
1964,"West Virginia",1797000,13603,4818,7375,1410
1965,"West Virginia",1812000,13435,4600,7577,1258
1966,"West Virginia",1794000,15188,4651,9146,1391
1967,"West Virginia",1798000,16681,5365,9745,1571
1968,"West Virginia",1805000,19069,6313,11096,1660
1969,"West Virginia",1819000,18330,5870,10906,1554
1970,"West Virginia",1744237,21886,6777,13497,1612
1971,"West Virginia",1752000,22241,6792,13507,1942
1972,"West Virginia",1781000,23285,7356,13976,1953
1973,"West Virginia",1794000,24180,7459,14799,1922
1974,"West Virginia",1791000,29229,9883,17074,2272
1975,"West Virginia",1803000,35089,10656,22154,2279
1976,"West Virginia",1821000,39480,10437,26568,2475
1977,"West Virginia",1859000,39083,11106,24942,3035
1978,"West Virginia",1860000,39104,12059,23776,3269
1979,"West Virginia",1878000,40513,11959,24755,3799
1980,"West Virginia",1930787,45719,14258,27606,3855
1981,"West Virginia",1951000,47681,15122,28884,3675
1982,"West Virginia",1948000,45514,13985,27962,3567
1983,"West Virginia",1965000,44158,13455,27134,3569
1984,"West Virginia",1952000,42313,12649,26296,3368
1985,"West Virginia",1936000,40401,11972,25191,3238
1986,"West Virginia",1919000,41301,11999,26055,3247
1987,"West Virginia",1897000,38953,11450,24436,3067
1988,"West Virginia",1884000,39703,11510,25147,3046
1989,"West Virginia",1857000,41154,11635,26608,2911
1990,"West Virginia",1793477,41855,11785,27310,2760
1991,"West Virginia",1801000,44528,12009,29369,3150
1992,"West Virginia",1812000,43455,11287,29200,2968
1993,"West Virginia",1820000,42300,10904,28456,2940
1994,"West Virginia",1822000,42136,10673,28189,3274
1995,"West Virginia",1828000,41093,10329,27724,3040
1996,"West Virginia",1826000,41510,9979,28300,3231
1997,"West Virginia",1816000,40868,10647,26934,3287
1998,"West Virginia",1811000,41627,11110,27127,3390
1999,"West Virginia",1806928,42825,10303,28760,3762
2000,"West Virginia",1808344,41344,9890,28139,3315
2001,"West Virginia",1800975,41085,9601,28268,3216
2002,"West Virginia",1804884,41099,9677,27524,3898
2003,"West Virginia",1811440,42370,10498,28409,3463
2004,"West Virginia",1812548,46326,10994,31566,3766
2005,"West Virginia",1814083,47757,11334,32603,3820
2006,"West Virginia",1818470,47941,11579,32305,4057
2007,"West Virginia",1812035,45620,10822,31321,3477
2008,"West Virginia",1814468,45971,10840,31967,3164
2009,"West Virginia",1819777,46215,12005,31453,2757
2010,"West Virginia",1854368,41301,10778,28104,2419
2011,"West Virginia",1854908,39009,10245,26656,2108
2012,"West Virginia",1855413,43878,11291,30378,2209
1960,"Wisconsin",3951777,44009,7847,32035,4127
1961,"Wisconsin",4022000,46669,9021,34197,3451
1962,"Wisconsin",4092000,47038,8757,34041,4240
1963,"Wisconsin",4061000,53390,9584,38919,4887
1964,"Wisconsin",4107000,63348,11725,45756,5867
1965,"Wisconsin",4144000,63934,11871,45701,6362
1966,"Wisconsin",4161000,77055,14346,54736,7973
1967,"Wisconsin",4189000,90556,18862,62703,8991
1968,"Wisconsin",4213000,97134,21225,67312,8597
1969,"Wisconsin",4233000,101909,21101,71330,9478
1970,"Wisconsin",4417933,115584,23792,82178,9614
1971,"Wisconsin",4476000,130780,28172,91837,10771
1972,"Wisconsin",4520000,129024,28862,89642,10520
1973,"Wisconsin",4569000,139878,32467,96953,10458
1974,"Wisconsin",4566000,159843,38212,110395,11236
1975,"Wisconsin",4607000,176165,42317,122794,11054
1976,"Wisconsin",4609000,173437,38891,124275,10271
1977,"Wisconsin",4651000,171245,39390,121588,10267
1978,"Wisconsin",4679000,175372,39599,125037,10736
1979,"Wisconsin",4720000,199273,44806,141880,12587
1980,"Wisconsin",4680917,216073,50524,154070,11479
1981,"Wisconsin",4739000,216997,50813,155892,10292
1982,"Wisconsin",4765000,202447,46564,147177,8706
1983,"Wisconsin",4751000,193118,41980,141434,9704
1984,"Wisconsin",4766000,189484,39755,138526,11203
1985,"Wisconsin",4775000,181918,37987,133349,10582
1986,"Wisconsin",4785000,183692,37464,134083,12145
1987,"Wisconsin",4807000,188411,40502,136058,11851
1988,"Wisconsin",4858000,182545,35423,134046,13076
1989,"Wisconsin",4867000,191869,35683,140040,16146
1990,"Wisconsin",4891769,202052,36755,144924,20373
1991,"Wisconsin",4955000,207560,37241,148695,21624
1992,"Wisconsin",5007000,202448,34645,146198,21605
1993,"Wisconsin",5038000,190923,33400,139148,18375
1994,"Wisconsin",5082000,186704,32824,135559,18321
1995,"Wisconsin",5123000,184665,31416,134623,18626
1996,"Wisconsin",5160000,184143,30356,135941,17846
1997,"Wisconsin",5170000,176145,29503,131002,15640
1998,"Wisconsin",5224000,172084,29740,128134,14210
1999,"Wisconsin",5250446,160154,25633,120702,13819
2000,"Wisconsin",5363675,159424,25183,119605,14636
2001,"Wisconsin",5405947,166924,26927,125275,14722
2002,"Wisconsin",5439692,164749,27926,123365,13458
2003,"Wisconsin",5474290,157684,26546,118775,12363
2004,"Wisconsin",5503533,146710,23854,111482,11374
2005,"Wisconsin",5527644,147556,24448,110531,12577
2006,"Wisconsin",5556506,156748,27038,115682,14028
2007,"Wisconsin",5601640,159305,27890,117957,13458
2008,"Wisconsin",5627967,155456,27459,116456,11541
2009,"Wisconsin",5654774,147692,26813,111947,8932
2010,"Wisconsin",5691659,142781,26636,107993,8152
2011,"Wisconsin",5709843,139912,27167,104472,8273
2012,"Wisconsin",5726398,140513,27945,104352,8216
1960,"Wyoming",330066,5989,990,4620,379
1961,"Wyoming",338000,6358,1226,4747,385
1962,"Wyoming",365000,5711,1038,4177,496
1963,"Wyoming",337000,6081,1163,4457,461
1964,"Wyoming",343000,6272,1301,4562,409
1965,"Wyoming",340000,6450,1235,4752,463
1966,"Wyoming",329000,7016,1263,5257,496
1967,"Wyoming",315000,7304,1594,5159,551
1968,"Wyoming",315000,7754,1717,5606,431
1969,"Wyoming",320000,8359,1808,5984,567
1970,"Wyoming",332416,9504,2147,6810,547
1971,"Wyoming",340000,9044,1993,6433,618
1972,"Wyoming",345000,9950,2057,7190,703
1973,"Wyoming",353000,11285,2470,8058,757
1974,"Wyoming",359000,12586,2970,8846,770
1975,"Wyoming",374000,14779,3229,10512,1038
1976,"Wyoming",390000,14652,2982,10726,944
1977,"Wyoming",406000,15695,3295,11255,1145
1978,"Wyoming",424000,17868,3545,12871,1452
1979,"Wyoming",450000,20129,3887,14607,1635
1980,"Wyoming",468954,21543,4238,15686,1619
1981,"Wyoming",492000,23133,4728,16972,1433
1982,"Wyoming",502000,22589,4432,16903,1254
1983,"Wyoming",514000,19412,3626,14932,854
1984,"Wyoming",511000,17582,3279,13518,785
1985,"Wyoming",509000,19130,3515,14732,883
1986,"Wyoming",507000,20605,4144,15606,855
1987,"Wyoming",490000,18366,3516,14171,679
1988,"Wyoming",471000,17206,3103,13432,671
1989,"Wyoming",475000,17246,3001,13593,652
1990,"Wyoming",453588,17732,2862,14194,676
1991,"Wyoming",460000,18762,3184,14867,711
1992,"Wyoming",466000,19831,3127,16003,701
1993,"Wyoming",470000,18221,3023,14470,728
1994,"Wyoming",476000,19122,3097,15254,771
1995,"Wyoming",480000,19517,2938,15774,805
1996,"Wyoming",481000,19261,3184,15408,669
1997,"Wyoming",480000,18843,2998,15198,647
1998,"Wyoming",481000,17124,2696,13759,669
1999,"Wyoming",479602,15468,2349,12523,596
2000,"Wyoming",493782,14969,2078,12318,573
2001,"Wyoming",493754,16120,2481,12943,696
2002,"Wyoming",498830,16494,2448,13303,743
2003,"Wyoming",502111,16648,2611,13239,798
2004,"Wyoming",505887,16889,2738,13352,799
2005,"Wyoming",508798,16070,2426,12905,739
2006,"Wyoming",515004,15381,2322,12255,804
2007,"Wyoming",522830,15053,2365,11875,813
2008,"Wyoming",532668,14515,2198,11584,733
2009,"Wyoming",544270,14243,2176,11310,757
2010,"Wyoming",564554,13869,2151,11126,592
2011,"Wyoming",567356,12878,1864,10493,521
2012,"Wyoming",576412,13222,2125,10513,584
